100003.71,0.047085598,0.10163198
89129.305,0.04664791,0.090517431
79433.273,0.046200011,0.080559149
70794.984,0.045756336,0.071764201
63093.828,0.045267768,0.063513979
56237.012,0.044653498,0.055856232
50122.477,0.044299338,0.048572354
44666.715,0.043956716,0.041708879
39814.063,0.044272006,0.035588473
35481,0.044724818,0.029717127
31621.143,0.045096885,0.024853427
28188.094,0.045856614,0.020206837
25116.906,0.04655074,0.016171094
22389.031,0.047340859,0.012538962
19948.781,0.048265431,0.009463236
17786.891,0.049118321,0.006564082
15847.683,0.050045643,0.004087446
14121.883,0.050815672,0.001827195
12590.93,0.051785324,-0.000312693
11217.713,0.052838407,-0.00220315
10002.226,0.053801902,-0.003787237
8916.6387,0.054778695,-0.005494828
7942.4009,0.055762574,-0.006884417
7079.4971,0.056932211,-0.008424809
6309.3828,0.058081418,-0.009755935
5622.7744,0.059191305,-0.010872295
5010.3887,0.060535755,-0.012183733
4465.5278,0.06184499,-0.013460152
3979.6606,0.06296134,-0.014558302
3548.0037,0.064494699,-0.015549686
3163.0769,0.066008404,-0.016730148
2817.5339,0.06740132,-0.017569004
2512.4104,0.068825744,-0.018579099
2249.2781,0.070433013,-0.019185621
1995.6381,0.072195351,-0.020204261
1778.2897,0.073706038,-0.021511737
1584.4927,0.075496383,-0.021936443
1412.7418,0.077265315,-0.022917334
1258.7905,0.079216562,-0.023687769
1121.7966,0.081358984,-0.024594121
999.68164,0.083362117,-0.025168996
891.42474,0.085140981,-0.025779329
794.23932,0.08743795,-0.026323218
707.96161,0.089834653,-0.026985649
631.00977,0.092311271,-0.027588658
562.33929,0.094599068,-0.028107338
501.12231,0.096832581,-0.028340556
446.57214,0.099824995,-0.028602123
398.08899,0.10238822,-0.02876351
354.88681,0.10469727,-0.028652757
316.31589,0.10724455,-0.028632313
281.8942,0.11012146,-0.028292395
251.20601,0.11250353,-0.02818273
223.92496,0.11493412,-0.027665563
199.55338,0.11734672,-0.02696909
177.78128,0.11994807,-0.025856741
158.52898,0.12239112,-0.025052145
141.21979,0.12389587,-0.024111278
125.92673,0.12635361,-0.02346354
112.19009,0.12821442,-0.022268042
99.968163,0.1306811,-0.020820308
89.115646,0.13216127,-0.019211765
79.415741,0.13271345,-0.018481538
70.793182,0.13438772,-0.016775616
63.082279,0.13536872,-0.016096864
56.241825,0.13613196,-0.014907219
50.112232,0.13704048,-0.014252875
44.671223,0.13761972,-0.012512576
39.808899,0.13891226,-0.011917535
35.488308,0.13945808,-0.011401974
31.629578,0.13997394,-0.009921763
28.187037,0.14056146,-0.009263217
25.120602,0.14084661,-0.009460997
22.385418,0.14123845,-0.008728033
19.955338,0.14122601,-0.007792158
17.775894,0.14220081,-0.007388786
15.846864,0.14198884,-0.006833306
14.127493,0.14223894,-0.006426167
12.587309,0.14240655,-0.005748289
11.216775,0.14271808,-0.005963119
9.9968166,0.14325052,-0.006002544
8.9082127,0.14361703,-0.005292157
7.9395623,0.14376298,-0.005384011
7.0765615,0.14376694,-0.004695747
6.3105822,0.14399302,-0.005191973
5.6245475,0.14416876,-0.005198353
5.0128326,0.14429593,-0.004395409
4.4642835,0.14429516,-0.004940852
3.9819033,0.14456418,-0.004939168
3.5471022,0.14481696,-0.005030752
3.1629577,0.14495623,-0.004964065
2.818361,0.14521199,-0.004995321
2.5108457,0.14517057,-0.004914367
2.2398233,0.14563265,-0.005269854
1.9955337,0.14562106,-0.005463824
1.7775893,0.14599487,-0.005918693
1.5853271,0.14623398,-0.006064181
1.4123619,0.14647633,-0.006666159
1.2582541,0.14652854,-0.007106186
1.1224822,0.14697099,-0.007499037
1.0000616,0.14724663,-0.008158319
0.89082122,0.14744771,-0.00853808
0.79455972,0.14788797,-0.009304429
0.70784986,0.14830998,-0.010234563
0.63090551,0.14887151,-0.011028791
0.562536,0.14914608,-0.01190624
0.50094575,0.15009883,-0.012744324
0.44677332,0.15035129,-0.01372941
0.39821118,0.15120035,-0.014940485
0.35475865,0.15189296,-0.016083291
0.31619295,0.15279761,-0.01744834
0.28181076,0.15361914,-0.018735744
0.25122166,0.15464726,-0.020224374
0.22391155,0.1558634,-0.021478347
0.19957349,0.15711242,-0.023400385
0.17779917,0.15836966,-0.024880629
0.15841872,0.15982851,-0.026781376
0.14132112,0.16148731,-0.028530482
0.12593865,0.16303119,-0.030247591
0.11220053,0.16472879,-0.032441013
0.099951774,0.16689947,-0.03459283
0.079455227,0.17045611,-0.039093912
0.063119084,0.17501637,-0.043815382
0.050094575,0.17975992,-0.050668657
0.039821938,0.184358,-0.058698863
0.031629652,0.1896835,-0.067649215
0.025115162,0.19635561,-0.07825011
0.019951537,0.20476916,-0.090828195
0.015841872,0.21504489,-0.10518259
0.012583137,0.22753894,-0.12187153
0.010003746,0.24492529,-0.13988243
0.007947311,0.26494953,-0.16320997
0.006311908,0.28593844,-0.18775716
0.005012699,0.30903488,-0.21165425
0.003982194,0.33732796,-0.23707312
0.003162943,0.36856914,-0.2612009
0.002512455,0.40043205,-0.2847209
0.001995593,0.43547273,-0.31125814
0.001585119,0.4670338,-0.34393322
0.001259126,0.49718666,-0.38853729
0.001000159,0.52260381,-0.44969964
0.000794463,0.54060811,-0.52452254
0.00063104,0.56123722,-0.61859286
0.000501256,0.59081578,-0.74359071
0.000398159,0.61471713,-0.91651094
0.000316267,0.63132918,-1.1392846
0.000251222,0.64843178,-1.4234335
0.000199553,0.6671766,-1.7796249
0.00015851,0.66965973,-2.2259817
0.000125908,0.68465281,-2.7829013
0.000100013,0.73051202,-3.4888096
