NG_PoorE_Set1,,,,,
Paras,Unit,Anode_SOC20,Anode_SOC60,Cathode_SOC20,Cathode_SOC60
i0,[A/m^2],32.5945832368538,54.8963243829714,11.0765530521872,37.5976463326275
Cdl,[F/m^2],4.66481695297993,4.49783994253738,3.15549173684104,1.83014957697281
Ds,[m^2/s],1.18994837223108e-12,1.00936895624501e-12,1.18450534508724e-13,1.89641981612192e-13
av,[m^2/m^3],37914.3166379562,37422.9153541774,235428.612584384,129375.014007055
tau,[-],8.01259511604338,10.3348870373458,7.17982930458575,5.66796559450586
Del,[m^2/s],2.92997692892669e-10,2.92997692892669e-10,2.92997692892669e-10,2.92997692892669e-10
Kel,[S/m],1.77655524736526,1.77655524736526,1.77655524736526,1.77655524736526
sigma_DRT,[-],1.0935077222721,0.766608290685494,2.7320424005374,1.48287902492739
sigma_DDT,[-],0.0100000000000437,0.287750121953058,0.427844963286407,1.13199240424448
R_ohm,[Ohm],0.0462606481225598,0.0455204487327461,0.05435408758329,0.0519105646368738
R_Kel,[Ohm],0.140384971456841,0.148659567460862,0.0889479270282325,0.0614484442551614
R_ct,[Ohm],0.104423650594914,0.0628154565346269,0.0651552974759309,0.0349293299438824
R_Del,[Ohm],0.59755236411471,0.804846977673669,0.410630068803069,0.332616572628074
R_Ds,[Ohm],0.0643989409215914,0.0982689316614969,0.102329734027621,0.161453708760987
RMSE,[Ohm],0.0219806242875723,0.0629167079040227,0.0139549099238895,0.0223470285849116
RMSE,[%],2.48409467317715,6.01239517134409,3.1568771866108,4.22984901347468
